iter	MultiClass
0	1.042575262
1	0.9866732099
2	0.9401686668
3	0.8971477511
4	0.8591824147
5	0.8268668951
6	0.7944246678
7	0.7674587916
8	0.7407693265
9	0.7174793374
10	0.6965145514
11	0.6740472406
12	0.6544567335
13	0.6367453361
14	0.6190094092
15	0.6014045968
16	0.5848241966
17	0.5679214565
18	0.5540623357
19	0.5390514989
20	0.5249660368
21	0.5124903122
22	0.501487197
23	0.4914757221
24	0.4813518448
25	0.4710825679
26	0.4622010487
27	0.4540667689
28	0.4454383037
29	0.4382475705
30	0.4294561676
31	0.4221755188
32	0.414875068
33	0.4072605339
34	0.4017395613
35	0.3958742159
36	0.3906150429
37	0.3859878464
38	0.3807831653
39	0.3760225892
40	0.3706579513
41	0.3668793154
42	0.3631786843
43	0.3602136627
44	0.3566823058
45	0.3527694958
46	0.3492773359
47	0.3461419866
48	0.3429339134
49	0.3395235798
50	0.3364046991
51	0.333392892
52	0.3303021308
53	0.3278867728
54	0.3254735058
55	0.3230451598
56	0.3210781013
57	0.3191716726
58	0.316929643
59	0.3147270541
60	0.3125879442
61	0.3105353153
62	0.3082585474
63	0.3065234789
64	0.3049012845
65	0.303119303
66	0.3018913053
67	0.3011999581
68	0.2998378369
69	0.2982579898
70	0.297044302
71	0.2961379029
72	0.2949328817
73	0.2931311139
74	0.2923941699
75	0.2914058859
76	0.2903719551
77	0.2896865391
78	0.2889971301
79	0.287957984
80	0.2872808054
81	0.2860905403
82	0.2847126305
83	0.2840083408
84	0.2832367052
85	0.2825507892
86	0.2818059401
87	0.2810937621
88	0.2804290583
89	0.2798348346
90	0.278855855
91	0.278291083
92	0.2778633438
93	0.2772297449
94	0.2769353712
95	0.2765152606
96	0.2758215392
97	0.2751989839
98	0.2747863115
99	0.273978253
100	0.2736411528
101	0.2731402079
102	0.2729431555
103	0.2725437932
104	0.2720980917
105	0.2718828091
106	0.271634487
107	0.2711625852
108	0.2708452147
109	0.2701565072
110	0.2698573684
111	0.2697534885
112	0.2693695088
113	0.2687579891
114	0.2683638588
115	0.2679279998
116	0.2675974819
117	0.2673132804
118	0.2671021759
119	0.2662822221
120	0.2661802761
121	0.2658047286
122	0.2652995824
123	0.265198485
124	0.2648693716
125	0.2647515565
126	0.2645592279
127	0.2642871715
128	0.2639233842
129	0.2637823502
130	0.263593959
131	0.2632359566
132	0.2630224454
133	0.2628156106
134	0.2625656353
135	0.2624114502
136	0.2621941887
137	0.2620374302
138	0.2618038878
139	0.261416363
140	0.2608746667
141	0.2605105768
142	0.2603052325
143	0.259871888
144	0.2597203072
145	0.259496126
146	0.2594052806
147	0.259313141
148	0.2592660724
149	0.259188663
150	0.2590832954
151	0.2590609731
152	0.2589392221
153	0.2587925877
154	0.2587186438
155	0.258665932
156	0.2583362526
157	0.2582015891
158	0.2579687559
159	0.2575200067
160	0.2571726126
161	0.2571195735
162	0.2568677317
163	0.256774101
164	0.2564303203
165	0.2561866519
166	0.2558156162
167	0.2557120852
168	0.2556017262
169	0.2555436298
170	0.2552880005
171	0.2551848563
172	0.2549178478
173	0.2547942113
174	0.2545473442
175	0.2544887484
176	0.2544341863
177	0.254392417
178	0.2539974814
179	0.2538535308
180	0.2535677908
181	0.2534295636
182	0.2532287846
183	0.2532171563
184	0.2530904472
185	0.2529913416
186	0.2529027772
187	0.2528313315
188	0.252769982
189	0.2526015309
190	0.2525478162
191	0.2524367547
192	0.2523881151
193	0.2523710011
194	0.2522497053
195	0.2520929995
196	0.2519954433
197	0.2518508859
198	0.2516707847
199	0.2514519401
200	0.2513911312
201	0.2512995442
202	0.2512879168
203	0.2512653741
204	0.251186353
205	0.2510939353
206	0.251031341
207	0.2506895735
208	0.2505643171
209	0.2504496183
210	0.250385815
211	0.2503763512
212	0.2503312788
213	0.2501169624
214	0.2500678287
215	0.2499496427
216	0.2498847223
217	0.2498572474
218	0.2498027128
219	0.2497765531
220	0.2497148195
221	0.2496622034
222	0.2494893486
223	0.2494409222
224	0.2493933189
225	0.2493438969
226	0.2493112174
227	0.2492799617
228	0.2491652407
229	0.2489780283
230	0.2489283502
231	0.2487979755
232	0.2486163301
233	0.2485916796
234	0.248540619
235	0.2484940462
236	0.2481895766
237	0.2481398646
238	0.2479688195
239	0.2479542231
240	0.2478787343
241	0.2476470819
242	0.2475302422
243	0.2475042782
244	0.2474642595
245	0.2473312659
246	0.247241284
247	0.2470920243
248	0.2470782929
249	0.2470123009
250	0.2467722342
251	0.2466626406
252	0.2466005649
253	0.2465405093
254	0.2464200218
255	0.24638934
256	0.2463389757
257	0.2463027742
258	0.2462878438
259	0.2462677313
260	0.245991479
261	0.2459448503
262	0.2459274757
263	0.2458870046
264	0.2457938864
265	0.2457378304
266	0.2456860911
267	0.2456217676
268	0.2455816054
269	0.2455407417
270	0.245386267
271	0.2453609504
272	0.2452420338
273	0.2450807765
274	0.245063048
275	0.2449941112
276	0.2448425416
277	0.2447048748
278	0.2446762602
279	0.2445471937
280	0.2445185596
281	0.2444640106
282	0.2444020373
283	0.244290532
284	0.2440926267
285	0.2440639513
286	0.2440303351
287	0.2439784914
288	0.2439565509
289	0.2439321574
290	0.2438812726
291	0.2437689041
292	0.2437408534
293	0.243582439
294	0.2435624517
295	0.2435291436
296	0.2434741062
297	0.2434259941
298	0.2434062599
299	0.2433433328
300	0.2432415061
301	0.2432007632
302	0.2430967341
303	0.2430126373
304	0.2428675846
305	0.2428535695
306	0.2428051296
307	0.2425842887
308	0.242538093
309	0.2424913545
310	0.2424711928
311	0.2422999645
312	0.2422231913
313	0.2419975338
314	0.2419103304
315	0.2418556151
316	0.2416711583
317	0.2414130459
318	0.2413914493
319	0.2410968537
320	0.2410401213
321	0.2407866421
322	0.2407448051
323	0.2406314157
324	0.2404276225
325	0.2402567137
326	0.2402372208
327	0.2401792988
328	0.2400171698
329	0.2399887988
330	0.239738212
331	0.2395777411
332	0.2394649221
333	0.2392114747
334	0.2389543536
335	0.238865416
336	0.23884213
337	0.2387749451
338	0.2385833502
339	0.2384033732
340	0.2381851778
341	0.2379914737
342	0.2379024847
343	0.2378721766
344	0.237805436
345	0.2377125286
346	0.2375491946
347	0.2373609113
348	0.2371684898
349	0.2370007995
350	0.2368038646
351	0.2367611583
352	0.2366198009
353	0.2364859665
354	0.2363080683
355	0.2361654918
356	0.2359983811
357	0.2358991822
358	0.2357263852
359	0.2356752055
360	0.2355201588
361	0.2353658075
362	0.2352135662
363	0.2351028214
364	0.2349566429
365	0.2348076659
366	0.2347229985
367	0.2346420186
368	0.2345002017
369	0.2343509952
370	0.2342473243
371	0.2341741069
372	0.2341166701
373	0.2339737472
374	0.2338478813
375	0.2337145963
376	0.2335778761
377	0.2334967838
378	0.2334328829
379	0.2333237843
380	0.2332454546
381	0.233124603
382	0.2330564418
383	0.2330200175
384	0.2329176667
385	0.232847484
386	0.2327948802
387	0.232708418
388	0.232601928
389	0.2325100479
390	0.2324785442
391	0.232433932
392	0.232342232
393	0.2322359193
394	0.2321829566
395	0.2321383602
396	0.2320867154
397	0.2320476631
398	0.232001288
399	0.2319561842
400	0.2318972768
401	0.2318648217
402	0.2317954077
403	0.2317321063
404	0.2316482296
405	0.2316070046
406	0.2315757798
407	0.2315287334
408	0.2314222446
409	0.2313152451
410	0.2312966064
411	0.2312363995
412	0.2311815141
413	0.2311444598
414	0.2311002485
415	0.2310700068
416	0.2309728457
417	0.2309101681
418	0.2308371277
419	0.2308096759
420	0.2307719318
421	0.23074044
422	0.2307179988
423	0.2306501089
424	0.2305866822
425	0.2305525238
426	0.2305296704
427	0.2305014081
428	0.2304680572
429	0.2304470165
430	0.2304191676
431	0.2303808791
432	0.2303250887
433	0.2302926733
434	0.2302040998
435	0.2301731506
436	0.2301430491
437	0.230072398
438	0.230006155
439	0.229957342
440	0.2299242561
441	0.22983743
442	0.2297615213
443	0.2297372928
444	0.2297084295
445	0.2296799252
446	0.2296548847
447	0.2295784496
448	0.2295385828
449	0.229511077
450	0.2294228417
451	0.2293786886
452	0.2293567871
453	0.2293209448
454	0.2292826983
455	0.2292398722
456	0.2292129278
457	0.2291548093
458	0.2291336609
459	0.2291038365
460	0.2290605404
461	0.2289951918
462	0.2289770095
463	0.2289324031
464	0.2289070178
465	0.2288781584
466	0.228824637
467	0.2287718047
468	0.2287556725
469	0.2287336671
470	0.2286853138
471	0.2286323312
472	0.2286066008
473	0.2285661527
474	0.2285441013
475	0.2285188309
476	0.2285055282
477	0.2284788617
478	0.2284446537
479	0.2284016107
480	0.2283556101
481	0.2283266108
482	0.2283099491
483	0.2282382537
484	0.2281557243
485	0.22812401
486	0.2281103992
487	0.2280757418
488	0.2280281867
489	0.2280085612
490	0.2279880433
491	0.2279382556
492	0.2279193708
493	0.227897454
494	0.2278596563
495	0.2278411576
496	0.2278188519
497	0.2278010058
498	0.2277820919
499	0.2277641035
500	0.2277520549
501	0.2277271197
502	0.2276861169
503	0.2276622166
504	0.2276397492
505	0.2276209307
506	0.2275851667
507	0.2275705951
508	0.2275450796
509	0.2275254717
510	0.2275133845
511	0.2274772258
512	0.2274404644
513	0.2273939803
514	0.2273818574
515	0.2273614899
516	0.227333238
517	0.2273158865
518	0.2273028983
519	0.2272848359
520	0.2272606231
521	0.2272259459
522	0.2272127208
523	0.2271714822
524	0.2271060568
525	0.2270764065
526	0.2270568501
527	0.2270156566
528	0.2269952098
529	0.2269609257
530	0.2269471808
531	0.2269326168
532	0.2268800533
533	0.2268653941
534	0.2268455956
535	0.2268279394
536	0.2268069262
537	0.2267703865
538	0.2267137104
539	0.2266773731
540	0.226647768
541	0.2266349178
542	0.2265726385
543	0.2265537221
544	0.226536158
545	0.2264816261
546	0.2264543188
547	0.2264369328
548	0.2264230431
549	0.2264050529
550	0.2263913853
551	0.2263657469
552	0.2263229226
553	0.2263031843
554	0.2262739423
555	0.2262445343
556	0.226220888
557	0.2262052731
558	0.2261967845
559	0.226178524
560	0.226151726
561	0.2261421062
562	0.2261232681
563	0.2261121452
564	0.2260916866
565	0.226058858
566	0.2260179386
567	0.2259976845
568	0.2259561726
569	0.2259435941
570	0.2259280099
571	0.2258875638
572	0.2258766734
573	0.2258520724
574	0.2258141805
575	0.2257890413
576	0.2257725596
577	0.2257514419
578	0.2257324158
579	0.2257182336
580	0.2257007429
581	0.2256790158
582	0.2256655801
583	0.2256417366
584	0.2256251489
585	0.225606429
586	0.2255801755
587	0.2255630121
588	0.225546499
589	0.2255289249
590	0.2255121035
591	0.2254985875
592	0.2254879868
593	0.2254740073
594	0.2254588226
595	0.2254297339
596	0.2254086206
597	0.2253960142
598	0.2253785782
599	0.2253684322
600	0.2253319232
601	0.2253189128
602	0.2253058008
603	0.2252705531
604	0.2252555715
605	0.2252443263
606	0.2252292066
607	0.2251956155
608	0.2251871818
609	0.2251691764
610	0.2251555378
611	0.2251444027
612	0.2251350795
613	0.2251195183
614	0.2250751817
615	0.2250577648
616	0.2250476827
617	0.2250216324
618	0.2249891504
619	0.224981724
620	0.224967748
621	0.2249544291
622	0.2249424952
623	0.2249182757
624	0.2249045165
625	0.2248893212
626	0.2248427629
627	0.2248256118
628	0.2248099429
629	0.2247915678
630	0.2247336919
631	0.224697072
632	0.2246848059
633	0.2246707573
634	0.224656329
635	0.224642162
636	0.2246298712
637	0.2246057449
638	0.2245695239
639	0.2245581208
640	0.2245239839
641	0.2244982622
642	0.2244831865
643	0.2244633422
644	0.2244508888
645	0.2244350526
646	0.2244173862
647	0.2243828468
648	0.2243666211
649	0.2243425996
650	0.2243291251
651	0.2243149874
652	0.2243031098
653	0.2242933933
654	0.2242789306
655	0.2242634504
656	0.2242522526
657	0.2242435066
658	0.2242343153
659	0.224210072
660	0.2241979357
661	0.2241761307
662	0.2241601966
663	0.2241315535
664	0.2241170299
665	0.2240926972
666	0.2240546422
667	0.2240417875
668	0.2240298928
669	0.2239763957
670	0.2239587397
671	0.2239434571
672	0.2239310406
673	0.2239178736
674	0.2239057264
675	0.2238928049
676	0.2238755992
677	0.2238609898
678	0.2238476205
679	0.2238280334
680	0.2238133026
681	0.2237897608
682	0.2237718221
683	0.2237582436
684	0.2237386262
685	0.2237097294
686	0.2236792729
687	0.2236631448
688	0.223653057
689	0.2236334907
690	0.2236225983
691	0.2236095745
692	0.2235947158
693	0.2235713704
694	0.2235438229
695	0.2235288455
696	0.2235074054
697	0.223477198
698	0.223465348
699	0.2234490853
700	0.2234369006
701	0.2234242668
702	0.22341185
703	0.2233893358
704	0.2233798718
705	0.2233422702
706	0.2233259225
707	0.2233051005
708	0.2232940867
709	0.2232813812
710	0.2232552515
711	0.2232430885
712	0.2232312011
713	0.2232073303
714	0.223195992
715	0.2231687232
716	0.2231597892
717	0.2231497465
718	0.2231359566
719	0.2231274428
720	0.2231138476
721	0.2231004659
722	0.22308389
723	0.2230756153
724	0.2230611436
725	0.2230393024
726	0.2230178138
727	0.223003139
728	0.2229871435
729	0.2229744196
730	0.2229606139
731	0.2229400246
732	0.2229159177
733	0.2229059124
734	0.2228858263
735	0.2228756069
736	0.2228679468
737	0.2228529871
738	0.2228360629
739	0.2228223127
740	0.2228064836
741	0.2227953348
742	0.2227775109
743	0.2227596346
744	0.2227395797
745	0.2227276265
746	0.2226954166
747	0.2226799069
748	0.2226643943
749	0.2226501805
750	0.2226380158
751	0.2226177413
752	0.2226082953
753	0.222594678
754	0.2225663653
755	0.222555306
756	0.2225439693
757	0.222514959
758	0.2224949501
759	0.2224762247
760	0.2224636398
761	0.2224511051
762	0.2224371507
763	0.2224240168
764	0.2224097652
765	0.2223948262
766	0.2223861247
767	0.2223754013
768	0.2223541392
769	0.2223287736
770	0.2223191239
771	0.2222924109
772	0.2222831327
773	0.2222716409
774	0.2222593893
775	0.2222451485
776	0.2222323999
777	0.2222217121
778	0.2222110777
779	0.2221927043
780	0.2221727336
781	0.2221586583
782	0.2221151986
783	0.2220960502
784	0.2220807573
785	0.2220652551
786	0.2220548058
787	0.2220302942
788	0.2220205281
789	0.222006394
790	0.2219937988
791	0.2219859236
792	0.2219682507
793	0.2219577935
794	0.2219376574
795	0.2219205965
796	0.2219105938
797	0.2219014575
798	0.2218911389
799	0.2218787271
800	0.2218682724
