iter	Passed	Remaining
0	51	51870
1	108	54288
2	186	62013
3	238	59302
4	297	59205
5	351	58239
6	406	57607
7	468	58008
8	529	58255
9	591	58477
10	646	58041
11	705	58018
12	771	58533
13	833	58624
14	898	58960
15	964	59237
16	1029	59450
17	1100	59989
18	1166	60180
19	1239	60661
20	1306	60862
21	1371	60896
22	1434	60875
23	1502	61036
24	1570	61201
25	1642	61462
26	1705	61390
27	1787	61996
28	1869	62529
29	1951	63048
30	2026	63277
31	2109	63752
32	2180	63830
33	2251	63895
34	2320	63903
35	2399	64197
36	2471	64261
37	2539	64214
38	2608	64201
39	2679	64240
40	2757	64425
41	2833	64569
42	2909	64684
43	2977	64627
44	3052	64721
45	3128	64823
46	3197	64770
47	3275	64893
48	3346	64885
49	3421	64949
50	3496	64987
51	3573	65073
52	3646	65079
53	3719	65088
54	3790	65065
55	3871	65199
56	3945	65211
57	4017	65173
58	4091	65192
59	4167	65227
60	4240	65204
61	4312	65171
62	4374	64997
63	4446	64960
64	4517	64906
65	4590	64896
66	4664	64881
67	4732	64798
68	4803	64748
69	4872	64664
70	4944	64622
71	5019	64625
72	5083	64483
73	5149	64373
74	5227	64408
75	5290	64246
76	5352	64091
77	5427	64088
78	5495	63998
79	5561	63884
80	5627	63780
81	5696	63701
82	5772	63704
83	5843	63648
84	5913	63591
85	5982	63514
86	6047	63396
87	6117	63326
88	6190	63293
89	6262	63247
90	6326	63125
91	6382	62921
92	6451	62845
93	6521	62788
94	6592	62735
95	6659	62642
96	6729	62578
97	6798	62502
98	6871	62466
99	6941	62399
100	7008	62309
101	7083	62289
102	7151	62211
103	7219	62132
104	7292	62087
105	7361	62017
106	7430	61945
107	7494	61829
108	7566	61782
109	7637	61728
110	7698	61591
111	7763	61486
112	7824	61348
113	7888	61239
114	7956	61163
115	8029	61123
116	8107	61118
117	8179	61071
118	8245	60974
119	8318	60935
120	8376	60780
121	8449	60742
122	8520	60685
123	8588	60607
124	8658	60543
125	8733	60511
126	8806	60464
127	8872	60373
128	8941	60304
129	9012	60242
130	9087	60212
131	9146	60073
132	9218	60024
133	9293	59989
134	9368	59956
135	9447	59949
136	9521	59907
137	9591	59843
138	9660	59767
139	9730	59705
140	9807	59679
141	9883	59647
142	9941	59511
143	10005	59406
144	10069	59307
